"p","q","AIC","AICc","BIC"
0,0,-415.9269,-415.79054,-410.90518
0,1,-437.87675,-437.60089,-430.34417
0,2,-453.6531,-453.18799,-443.60966
0,3,-453.05485,-452.34897,-440.50056
0,4,-452.96033,-451.96033,-437.89517
0,5,-451.126,-449.77661,-433.54999
0,6,-450.46273,-448.70664,-430.37586
0,7,-448.89713,-446.67491,-426.29939
0,8,-450.32427,-447.57427,-425.21568
0,9,-455.18858,-451.84681,-427.56913
0,10,-454.00629,-450.00629,-423.87598
1,0,-455.79698,-455.52112,-448.2644
1,1,-459.05916,-458.59404,-449.01572
1,2,-459.97495,-459.26907,-447.42066
1,3,-461.67607,-460.67607,-446.61091
1,4,-461.20103,-459.85163,-443.62501
1,5,-462.1992,-460.44311,-442.11233
1,6,-463.21988,-460.99765,-440.62214
1,7,-461.51388,-458.76388,-436.40529
1,8,-460.9883,-457.64652,-433.36884
1,9,-459.07798,-455.07798,-428.94767
1,10,-458.30941,-453.58214,-425.66824
2,0,-458.28308,-457.81797,-448.23964
2,1,-457.61383,-456.90795,-445.05953
2,2,-455.75351,-454.75351,-440.68835
2,3,-460.46008,-459.11068,-442.88406
2,4,-458.4847,-456.72861,-438.39783
2,5,-463.43039,-461.20817,-440.83266
2,6,-461.93979,-459.18979,-436.8312
2,7,-459.24779,-455.90601,-431.62833
2,8,-459.01944,-455.01944,-428.88912
2,9,-457.95915,-453.23187,-425.31797
2,10,-456.33042,-450.80411,-421.17839
3,0,-456.55819,-455.85231,-444.0039
3,1,-455.66993,-454.66993,-440.60478
3,2,-459.10385,-457.75445,-441.52783
3,3,-458.81626,-457.06016,-438.72938
3,4,-456.57971,-454.35749,-433.98197
3,5,-456.40935,-453.65935,-431.30076
3,6,-460.11991,-456.77813,-432.50045
3,7,-458.38581,-454.38581,-428.25549
3,8,-458.94272,-454.21544,-426.30154
3,9,-457.08343,-451.55712,-421.9314
3,10,-458.99251,-452.59251,-421.32962
4,0,-458.48734,-457.48734,-443.42218
4,1,-463.75995,-462.41055,-446.18393
4,2,-464.45495,-462.69886,-444.36808
4,3,-463.55372,-461.3315,-440.95599
4,4,-461.87921,-459.12921,-436.77062
4,5,-460.1256,-456.78383,-432.50615
4,6,-460.91942,-456.91942,-430.7891
4,7,-457.90104,-453.17377,-425.25987
4,8,-457.09215,-451.56583,-421.94012
4,9,-455.10211,-448.70211,-417.43922
4,10,-453.10905,-445.7577,-412.9353
5,0,-458.79413,-457.44473,-441.21811
5,1,-462.39375,-460.63765,-442.30687
5,2,-460.46628,-458.24406,-437.86854
5,3,-460.74909,-457.99909,-435.64049
5,4,-453.40778,-450.06601,-425.78833
5,5,-464.61443,-460.61443,-434.48411
5,6,-458.06978,-453.34251,-425.42861
5,7,-456.07115,-450.54483,-420.91912
5,8,-461.84481,-455.44481,-424.18191
5,9,-457.28665,-449.9353,-417.1129
5,10,-457.06864,-448.68508,-414.38403
6,0,-460.72116,-458.96507,-440.63429
6,1,-461.88853,-459.66631,-439.29079
6,2,-463.53961,-460.78961,-438.43101
6,4,-459.0904,-455.0904,-428.96008
6,5,-457.06994,-452.34266,-424.42876
6,6,-459.97677,-454.45046,-424.82474
6,7,-463.44285,-457.04285,-425.77996
6,8,-460.79209,-453.44074,-420.61834
6,9,-453.69685,-445.31329,-411.01224
6,10,-455.60647,-446.10647,-410.411
7,0,-461.21758,-458.99536,-438.61985
7,1,-460.4038,-457.6538,-435.29521
7,2,-458.9499,-455.60813,-431.33045
7,3,-457.62457,-453.62457,-427.49425
7,4,-461.05277,-456.3255,-428.4116
7,5,-459.08963,-453.56332,-423.9376
7,6,-458.45529,-452.05529,-420.7924
7,7,-457.73711,-450.38576,-417.56336
7,8,-453.71385,-445.33028,-411.02923
7,9,-451.92162,-442.42162,-406.72615
7,10,-453.19178,-442.48756,-405.48545
8,0,-461.20169,-458.45169,-436.0931
8,1,-459.20599,-455.86422,-431.58653
8,2,-458.4672,-454.4672,-428.33688
8,3,-460.56264,-455.83537,-427.92147
8,4,-458.62911,-453.10279,-423.47708
8,5,-461.23155,-454.83155,-423.56866
8,6,-457.70164,-450.35029,-417.52789
8,7,-455.76831,-447.38475,-413.0837
8,8,-454.19876,-444.69876,-409.00329
8,9,-450.3329,-439.62867,-402.62657
8,10,-456.55775,-444.55775,-406.34056
9,0,-459.21253,-455.87076,-431.59308
9,1,-458.55161,-454.55161,-428.4213
9,2,-460.44972,-455.72244,-427.80854
9,3,-458.6144,-453.08808,-423.46236
9,4,-457.58812,-451.18812,-419.92523
9,5,-455.58762,-448.23626,-415.41386
9,6,-457.37266,-448.9891,-414.68805
9,7,-455.93595,-446.43595,-410.74048
9,8,-450.24946,-439.54523,-402.54312
9,9,-457.75211,-445.75211,-407.53492
9,10,-455.03553,-441.64423,-402.30749
10,0,-458.35367,-454.35367,-428.22336
10,1,-456.36015,-451.63287,-423.71897
10,2,-458.60137,-453.07506,-423.44934
10,3,-456.61736,-450.21736,-418.95447
10,4,-455.58677,-448.23542,-415.41302
10,5,-457.57498,-449.19142,-414.89037
10,6,-454.98115,-445.48115,-409.78568
10,7,-454.18525,-443.48102,-406.47892
10,8,-452.47788,-440.47788,-402.26069
10,9,-457.36786,-443.97656,-404.63981
10,10,-455.03977,-440.15742,-399.80086
